Iloko,English
haan unay a nalawag ti bulan-laud.,the night sky is not very clear.
napaguntan ti ubing a tangken-ulo.,the stubborn child was persuaded.
tumanao! ti bantay-balay idi rabii.,the watchdog barked last night.
basaem dagiti patang,read the sentences
ikahon dagiti...,box the...
agsurat ti maysa a patang,write one sentence
usaren iti patang,use in a sentence
kudil-sibuyas ni maria.,maria is sensitive.
napan nagtrabaho ni manangko idiay ballasiw-taaw.,my older sister went to work overseas.
dagiti dua nga ubbing ket singpet-kiteb.,the two children are shy.
nataragsit ti kabalio.,the horse is majestic.
dakkel ti kabalio a nakitak.,the horse i saw is big.
nalukmeg ti kabalio ni tatang jose.,tatang jose's horse is stout.
nawara ti basura nga adda iti lata.,the garbage in the can is scattered.
narugit ti basura nga agkawara.,the scattered garbage is dirty.
nabangsit ti basura.,the garbage is smelly.
napintas ti balayda.,their house is beautiful.
nagpasiarak idiay nalawa a bangkag.,i strolled in the spacious farm.
adu ti mulmula ni rodel.,rodel has many plants.
nabaknang ti gayyemko.,my friend is rich.
natulnog nga anak ni ella.,ella is an obedient child.
gimmatang ni arnold ti dakkel a pakwan.,arnold bought a big watermelon.
nagaget ken nadayaw nga ubing ni carol.,carol is a hardworking and respectful child.
pinagpagna ni peter ti atiddog a kalsada.,peter walked the long road.
naisem dagiti santol a sinukatko.,the santol fruits i picked are smiling
adda nagayad a paldak.,there is an orderly row
agpada ti kaipapanan,have the same meaning
adu ti bunga ti bayabas.,the guava has many fruits.
ababa ti nagatangna a tali.,the rope he bought is short.
nakurapay ti panagbiagda.,their life is poor.
nasao ti kaay-ayamko.,my playmate is naughty.
natalna idiay siled-pagbasaan.,it is quiet in the library.
nataragsit ni alden.,alden is handsome.
narasi ti sanga ti marunggay.,the branch of the malunggay is tender.
nabara ti bagi ni jose.,jose's body is warm.
nasipnget iti uneg ti kueba.,it is dark inside the cave.
napigsa ti guruod.,the thunder is loud.
imbelleng ni jose ti naangot a basura.,jose threw away the smelly garbage.
dakkel ti bulkang mayon.,mount mayon is big.
nagna isuna iti nakipet a dalan.,he walked on the tight path.
naraman ti turon.,the banana roll is delicious.
narapis ni lorna.,lorna is thin.
napartak a tumaray ti kabalio.,the horse runs fast.
natayag ti bantay apo.,mount apo is tall.
napudot ti bagi ni lory.,lory's body is hot
nananam ti kinnanko nga spaghetti.,the spaghetti i ate was delicious.
napigsa nga agbagkat ni lito.,lito carries things strongly.
agduma,have different meanings
adu ti bunga ti mangga.,the mango has many fruits.
napudot ti danum.,the water is hot.
baro ti sapatos ni rita.,rita's shoes are new.
nainapis ti libro a basbasaek.,the book i am reading is thin.
nadagsen ti karga ti timba.,the load carried by the pail is heavy.
nangisit ti kawesna.,his clothes are black.
nauneg ti banawang.,the canal is deep.
nalukneng ti tinapay.,the bread is tender.
dakkel ti bunga ti papaya.,the papaya fruit is big.
nabaknang ni mimi.,mimi is rich.
nalawag diay kuarto.,the room is bright.
nasadot nga agluto ni tom.,tom is lazy to cook.
ababaw ti danum idiay karayan.,the water in the river is shallow.
adu ti gayyem nga inawis ni nora,nora invited many friends
ngem bassit ti immay.,but few came
adu ti gayyem nga inawis ni nora... ngem bassit ti immay.,nora invited many friends... but few came.
dagiti sao nga addaan ti dua wenno tallo a silaba,words with two or three similar-sounding syllables.
agtitinnulong,helping each other
usto kadi iti inaramid da arman?,was what arman did right?
siasinno dagiti kangrunaan a tulungan?,who are the primary people to help?
ania ti tarigagay ni arman,what was arman's goal?
"malaksid iti kinalaing a tumulong, ania pay iti abilidad ni arman?","besides skill in helping, what other ability does arman have?"
kayatmo kadi a mangibingay?,do you want to share?
agur-umos dagiti mannursuro ti modules.,the teachers are organizing the modules.
agpukpukan ti kayo ni tata ben.,tata ben is chopping wood.
nagnagna ni helen.,helen walked.
agdigdigos diay karayan.,bathing in the river.
agtartaray nga summurot ti aso.,the dog is running after him.
mangidadalo nga agdalus.,will volunteer to clean.
"makitam nga adda agwalwalis, agpunpunas...","you will see someone sweeping, wiping..."
adda met ub-ubbing nga agur-umos...,there are also children organizing...
adda met dagiti ubbing nga agaw-awit ti lib-libro.,there are also children carrying books.
adda met aggus-gusgos nga ubbing.,there are also children scrubbing.
"kalpasanna, naglinis ken nagpintas ti pagadalanda.","afterwards, their school became clean and beautiful."
naggaget da tatang ken nanang.,father and mother are hardworking.
tallokami nga agkakabsat.,we are three siblings.
napatanor kami nga aginnayat.,we were raised to love each other.
da nanang ken manang ubrada’t mangyumos.,mother and older sister work to tidy up.
da manong ken tatang ti mangtartarakenen.,older brother and father are the ones who take care of the animals
nagan ti tao,name of a person
nagan ti banag,name of a thing
nagan ti ayup,name of an animal
nagan ti lugar,name of a place
nagan ti pasamak,name of an event
naparteak nga agtaray,runs fast
ikkan ti balon,to give a baon
ni mario ket napartak nga agtaray.,mario runs fast.
nalukmeg ti taraken ni anie nga aso.,anie's pet dog is fat.
gummatang ni nanang ti baro nga bado.,mother bought a new dress.
mapan kami agpasiar idiay plasa inton domingo.,we will go for a stroll at the plaza on sunday.
inay-ayat ko ni nanang ta kanayonnak nga ikkan ti balonko.,i love mother because she always gives me my packed food.
agluto ti doktor,the doctor is cooking.
agtartaray ti baboy idiay karayan.,the pig is running by the river.
napan ni kapitan gimmatang ti payong.,the captain went to buy an umbrella.
naragsak ti paskua idiay san nicolas.,christmas was merry in san nicolas.
agdrowingak iti papel.,i am drawing on paper.
dua nga agsaruno a pauni,two consecutive consonant sounds in a single syllable
haan a sigurado,common gender
awan katatauana,neuter gender
agsala ti prinsesa.,the princess dances.
agmulmula ti hardinero.,the gardener is planting.
agsao ti mannursuro.,the teacher is speaking.
agtugawak iti tugaw.,i am sitting on the chair.
nagawid ti manong ken manang.,the older brother and older sister went home.
nangan ti nuang.,the carabao ate.
nagluto ni nanang ti tinapay.,mother cooked the bread.
panangbukel ti baro a balikas,word formation
puan a balikas,root word
agsisilpo a letra,cursive letters
dadakkel a letra,uppercase letters
babassit a letra,lowercase letters
ti kilo a karne,a kilo of meat
ti supot a rambutan,a bag of rambutan
ti reppet a marunggay,a bunch of moringa
ti rineppet a mangga,a bunch of mangoes
ti takal a bagas,a serving of rice
ti bulig a saba,a cluster of bananas
ti grupo nga utong,a group of string beans
ti kaban a bagas,a sack of rice
ti tiniklis a mangga,a bunch of mangoes
ti limon a mani,a limon of peanuts
ti atado a gatas,a pack of milk
ti banda dagiti musikero,the band of musicians
ti kahon a tarong,a box of eggplants
napan nagdigos ni mario idiay waig.,mario went to bathe at the creek.
magmagna ni ana a mapan pagadalan.,ana will walk to school.
agluto ni inangko ti meriendami madamdama.,my mother will cook our snack later.
nagliwliw ti tukak ni amangko.,my grandfather had a celebration for his birthday.
mangmanganak ti nateng ken prutas isunga natibker ti bagik.,i eat vegetables and fruits so my body is strong.
gimmatangak ti maysa a bulig a saba.,i bought one cluster of bananas.
nalaka itatta ti maysa a reppet nga utong.,one bunch of string beans is cheap now.
nangled ni manangko ti dua a kilo a karne.,my older sister bought two kilos of meat.
nangina ti maysa a kaban a bagas.,one sack of rice is expensive.
tiniklis a mangga ti naapit idiay kamanggaanda.,a bunch of mangoes fell from their mango tree.
naikkan ti maysa a atado a gatas ti pamilia reyes.,the reyes family was given one pack of milk.
nangled ni apong ti dua a limon a mani.,grandmother bought two limon of peanuts.
ti banda dagiti sumasala ket makisalisalda.,the group of dancers will join the dance.
sagmannano ti maysa nga kahon ti tarong?,how much is one box of eggplants?
ti grupo dagiti musikero ket nagtukarda.,the group of musicians performed.
agpapada a kaipapanan,similar meanings
agsusupadi a kaipapanan,opposite meanings
paset ti patang,parts of a sentence
panagtungpal ti pagannurotan,following instructions
ti kabsat da a bassit ket nalabid.,their youngest sibling is restless.
dayta a tao ket maysa a nasirib.,that person is wise.
naulimek ti agnaed iti kataltalunan.,it is quiet living in the province.
adu ti nararaman a makan a lako ni manang isabel.,older sister isabel sells many delicious foods.
ti pamilia aquino ket nakurapay ti panagbiagda.,the aquino family has a poor life.
adu a lames ti naala ni tatanako.,many fish were caught by my grandfather.
kanayon a mangmangan ni manongko ti makan.,my older brother always buys food.
isuda ket naragsak nga agay-ay-ayam.,they are happily playing.
nasam-it ti naluom a mangga.,the ripe mango is sweet.
ayaten tayo dagiti nagannaktayo.,we love our parents.
mangidrawing iti kuadrado.,draw a square.
isurat iti nagan mo ti uneg ti timbukel.,write your name inside the circle.
marisan ti duyaw ti sao a mangibaga ti nagan ti bulan.,color the word that names a month yellow.
isurat ti sumaruno a bilang,write the next number
timbukelan ti kinatao mo: lalaki babae,encircle your gender: male female
maysa a klase ti panitikan,a type of literature
addaan ti naumos a pamakasalansan,has an orderly arrangement
agparehas nga aweng,rhyming words
ken maala nga adal,and lesson learned
dua a sao a pagnayunen,two words joined
sarita a mangiladawan,describes
sarita a mangibaga ti garaw,indicates an action
lugar a pakaaktitaan,place of learning
agnanaed diay probinsia ni apongko.,my grandfather lives in the province.
adda nalawa a taltalonna. adu ti dingwen a tarakenna.,he has a wide field. he has many animals he raises.
tumulongak a mangtaripatu kadakuada.,i help take care of them.
"tallo kadagitoy ti magusgustuak: maysa a kalding, nuang, ken kabalio.","i like three of them: one goat, carabao, and horse."
diay kalding... mangmangled ti naimas a gatas.,the goat... gives delicious milk.
diay kabalio... maguyodna diay bassit a kariton.,the horse... pulls the small cart.
ti nuang ti kadadakkelan... maguyodna diay paglugluganak a kariton.,the carabao is the biggest... it pulls my riding cart.
adda maysa a kalapaw idiay nangato a bantay.,there is a hut on the high mountain.
agdalan ka't dan-aw ken kayo a kas rangtay.,you will walk across the lake and a tree like a bridge.
"ditoy kalapaw adda kawitan, ni lolo ambo a kapitan.","here in the hut is the leader, captain lolo ambo."
mangmangted ray-aw kaniana ti inaldaw.,he gives daily advice.
nagsayaat ti lamiis a kumablaaw kadagiti mairana a dumap-aw.,the cool breeze nicely greets the arriving visitors.
"iti kalapaw no inda maturog, mayepyep a dagus sadanto agurok.","when they sleep in the hut, it is instantly peaceful until they snore."
napan ni val ken ni miki idiay igid-baybay.,val and miki went to the seaside.
...a nagpaangin ken nagpasiar iti tingnga-aldaw.,...to get some air and stroll at noon.
...idlay balay-pagdulinan.,...in the storage house.
ti saan a panagsurot ti bilin ket panangipakita ti awanan-dayaw kadakuada.,not following instructions is a show of disrespect towards them.
nasipnget iti rabii no awan ti kuriente.,it is dark at night when there's no electricity.
naimas ti inluto ni nanangko a tinola.,delicious was the tinola my mother cooked.
naturog kami idiay kalapaw ni tatangko.,we slept in my father's hut.
magmagna kami dagiti kabsatko.,"we will walk, my siblings and i."
barbaro ti tsinelas ko.,my slippers are new.
nalangto dagiti mula ni tatangko.,my father's plants are lush.
mangibaga ti napalalo a karirikna,exclamatory
ania ti nagammo?,what is your name?
pakibagam kenni pong ta umay ditoy.,please tell pong to come here.
"yehey, nangabakkami!","yehey, we won!"
napan diay dapon ni nanang.,mother went to the store.
nagsagad dagiti agkabsat diay arubayan.,the siblings played in the yard.
ita nga aldaw iti kasangay ni elisa.,today is elisa's birthday.
naumus dagiti ubbing nga adda diay maikadua a tukad.,the children in the second grade are orderly.
naragsakda nga agpaspasiar idiay minuyungan.,they are happily strolling in the orchard.
nagpasiar diay taltalon,strolled in the field
gimmatang iti maysa a kilo a bagas,bought one kilo of rice
adda sagut a munieka,there is a gift doll
idiay panganan,at the eatery
ni boboy ket adda tarakenna nga aso.,boboy has a pet dog.
ti nuang ket maysa a makatuong unay iti tao.,the carabao is very helpful to people.
ni jomar ket maysa nga nasingpet nga ubing.,jomar is a kind child.
adu nga adal ken sursuro ti maala tayo iti libro.,we can get many lessons and learnings from a book.
naragsak ti panagkasangay ni tina.,tina's birthday was happy.
aray! nagsakit ti ngipenko.,ouch! my tooth hurts.
apay nalabaga dayta pingping mo?,why are your cheeks red?
pangngaasim sibugam dagita mulmula.,please water those plants.
nagaget ni tatang ko.,my father is hardworking.
yehey! kasangay kon inton bigat.,yehey! my birthday is tomorrow.
panagsurat ti parupo,paragraph writing
usaren a pangsukat,replacement
mangibaga iti pagsasaritaan,state the topic
mangibaga iti tulbekan,state the receiver
wenno bagiben,or beneficiary
siak ti gimmatang iti ice cream.,i am the one who bought the ice cream.
isuna ti gimmatang ti merienda.,he is the one who bought the snack.
dakayo ket saan nga agsisigarilio.,you do not smoke.
siak ti nagwalis ti paraangan.,i was the one who swept the yard.
sika ti mangala ti bayabas.,you are the one to get the guava.
isuda ti agay-ayam ti basketbol.,they are the ones playing basketball.
umno ken husto a wagas ti panagsurat,correct and proper way of writing
panangipaliiw,observing
aglutoak ti almusal para kaniana.,i will cook breakfast for him
kinatungtong datayo a mapan ageskwela.,they talked to us about going to school.
dakami ket saan nga agsisigarilio.,they see us not smoking.
ipaw-it ko kenka daytoy regalok.,i will give this gift of mine to you.
dakayo da ana ti nangawis kadakuada.,you and ana were the ones who invited them.
adda kotse ni ana a nalabbaga. kaniana daytoy kotse.,ana has a red car. this car is hers.
napidot ni jose ti lapis ko. masapul nga isubli na kaniak.,jose borrowed my pencil. he needs to return it to me.
daytoy ti balay mi. kaniami daytoy.,this is our house. this is ours.
"adda dua a tiket ti sine ni carlo, kayatna nga ipadawat dagitoy kenni mario a gayyemna tapno maragsakan met isuna ken mapadasna met ti makaserrek iti sinean.","carlo has two movie tickets, he wants to give these to his friend mario so that he will also be happy and he can also experience entering the cinema."
maala nga adal,lesson learned
aktual a istoria,actual story
napigsa a pasamak,intense event
bantay ti nagan ti uken ni juan.,bantay is the name of juan's dog.
puraw ti marisna.,its color is white.
inaldaw-aldaw a pakanen ken painumenna.,he feeds and gives it water every day.
inaldaw-aldaw met a padigusenna.,he also bathes it every day.
pagiddaenna iti ikamen.,he provides a kennel for it to rest in.
naragsakda nga agpaspasiar idiay taltalon.,they happily take walks in the field.
ni argel ket maysa nga agad-adal ti maikadua a tukad.,argel is a second-grade student.
"maysa a bigat, isuna ket nakapayong a magmagna ta agtudtudo.","one morning, he was walking with an umbrella because it was raining."
nalabasan na ti gayyem na nga agur-uray ti isardeng ti tudo.,he passed by his friend who was waiting for the rain to stop.
"gapu ta awan payongna, dinagas ni argel ken pinayungan na metten nga apan idiay pagadalan.","because his friend had no umbrella, argel got wet and also shared his umbrella with him on the way to school."
adda ti kabaelanna a trabaho iti balay.,she has chores at home.
“ado ti masapul nga lippasen ni nanang.”,mother has many things to finish.
ada dagiti bado nga malabaan. naragit ti uneg ken ruar ti balay.,there are clothes to be washed. the inside and outside of the house are dirty.
"inayaban ni pia ni emma ta agay-ayamda, ngem nappanunot ni emma.","pia invited emma to play, but emma was thoughtful."
"simmungbat, imbagana a saanen ta mapan tumulong laengen ken nanangna.",she answered and said she wouldn't go and would just help her mother.
magusgustuan ni pining ti mangan ti kendi ken dadduma a sinam-it.,pining likes to eat candy and other sweets.
maliwayanna ti aggisigis kadagiti ngipenna.,she neglects to brush her teeth.
"gapu iti daytoy, ribrib ti pammarangna ken agsakitsakit pay ti binukbok a ngipenna.","because of this, she has cavities and her decayed tooth also aches."
"“agrubwatka ta mapanta sadiay klinika ti dentista,” kinuna ni nanangna.","get ready so we can go to the dental clinic, said her mother."
“liklikam ti mangan ti adu a sinam-it. aggisigiska met a kanayon...”,avoid eating a lot of sweets. also brush your teeth always...
"“agyamanak unay,” kinuna ni pining.","thank you very much, said pining."
ti maris ti matana ket kasia maris ti danum idiay baybay.,the color of her eyes is like the color of the water in the sea.
nabuntog a magna ni adingko kasia pag-ong.,my younger sibling walks stoutly like a turtle.
diay nuangmi ket dakkel a kasia bantay.,our carabao is big like a mountain.
naparteak nga agtaray ti kabalio kaparteak kas ti motorsiklo.,the horse runs as fast as a motorcycle.
aggergerlap ti badona a baro a kasia diamante.,her new dress sparkles like a diamond.
kalawlawag a kas ti init.,bright like the sun.
natangkan a kasia bato.,hard like a stone.
dakkel a kas ti bantay.,big like a mountain.
atiddog a kasia tali.,long like a rope.
nalammiis a kasia yelo.,cold like ice.
napigsa a kasia biruruko,strong like lightning.
nabuntog a kas ti nuang.,stout like a carabao.
napaspas a kasia utot.,fast like the wind.
bassit a kas ti kuton.,small like a kitten.
panagbasa a kanayon,constant practice
tapno magun-od ti fluency,to achieve fluency
sadino a napasamak,took place
imprito nga manok,fried chicken
"ubingak a bassit, nasiglat, nasaririt.",my small child is energetic and talented.
"nalaingak a kumanta, nalaingak pay nga agsala.","i am good at singing, i am also good at dancing."
"uray pay agbasa, agdrowing ken agsurat.","also to read, draw, and write."
"siak ti tuladem, dika agbabain gayyem.","i am the one to be imitated, don't be shy, friend."
adda bassit a pato. nalamuyot ti dutdotna.,there is a small duck. its feathers are soft.
natirad a sippitna ken nakuttong ti gurongna.,it has a flat beak and a short neck.
adda dakkel a pusak a maris dapo.,i have a big cat colored gray.
lima ti annakna a babassit.,she has five small offspring.
nakakidem pay laeng dagiti matada.,their eyes are still closed.
iti mabilt agmulagatdanto. agtubonto metten ti dutdotda.,soon they will open their eyes. their fur will also grow.
agkakaingasdanto nga agiina.,they will playfully meow.
ti tren tren ket maysa nga ay-ayam.,the train is a toy.
naimas ti arroz caldo a makan.,arroz caldo is a delicious food.
nalabaga ti maris ti rosas.,the color of the rose is red.
awan suli ti nagbukel a sukog.,a round shape has no corners.
paggapuan iti impormasion,sources of information
barito,young man
agkasakit a nakaro,to get severely ill
maalis,to be transmitted
awan pilpillienna,does not choose
pakampanti,to be complacent
bumarangay,barangay resident
barangay hall,barangay hall
alas dos ti malem,2:00 in the afternoon
maprotektaran,to protect oneself
makaalis nga sakit,infectious disease
bugguam dagiti ima,wash your hands
sangka iggem,keep on touching
maig-iggaman,can be hold
abbungan ti ngiwat,cover your mouth
aguyek,to cough
agbahing,to sneeze
natao a lugar,crowded place
naasideg a pannakilangenlangen,close contact
agdian,to stay
agpakonsulta iti doktor,to consult a doctor
makaanges,to breathe
mapagtalkan nga awtoridad,trusted authorities
agsisinnarak,to gather
agchachant,to chant
ni nana maria ket adda isuna diay minuyungan.,nana maria was in the orchard.
nakakita isuna ti dakkel nga uleg a nakapotipot iti puon ti maysa a kayo.,she saw a big snake coiled around the base of a tree.
dagus nga nagtaray isuna gapu iti kigtotna ken butengna.,she immediately ran because of her fright and fear.
ti sakit nga coronavirus 2019 covid-19 ket sakit iti pagangesan.,the coronavirus disease 2019 is a respiratory sickness.
uray asinno ket mabalin a makaptan iti daytoy nga sakit.,anyone can catch this sickness.
dagiti tao nga agsaksakit ket maalisanda iti sabali nga tao.,sick people can transmit it to other people.
awan ti pilpillienna iti daytoy nga virus.,this virus does not discriminate.
saan nga pakampanti ta ditayo ammo no sino iti adda sakitna.,don't be complacent because we don't know who is sick.
amin a bumarangay,all barangay residents
miting maipakaammo ti proyekto panagdaldalus,meeting to announce the cleaning project
calaocan barangay hall,caloocan barangay hall
"sabado, alas dos ti malem, disyembre 19, 2020","saturday, 2 pm, december 19, 2020"
bugguan nga kanayon dagiti imam.,always wash your hands.
"saammo nga sangka iggem iti matam, agong ken bibigmo.","do not touch your eyes, nose, and mouth."
abbungann iti ngiwat mo no aguyekka ken no agbahing.,cover your mouth when you cough and sneeze.
liklikam iti natao nga lugar.,avoid crowded places.
agdian iti uneg ti balay no adda iti sakit mo.,stay inside the house if you are sick.
agpakonsulta nga dagus iti doktor.,consult a doctor immediately.
ti mapa ket maysa a simbolo a mangiladladawan iti maysa nga lugar,a map is a symbol that represents a place
ti mapa ket mangted iti impormasion maipanggep ti lubong,the map gives information about the world
ti komunidad ket grupo ti tattao nga agnanaed iti maysa nga lugar,a community is a group of people living in one place
"aminnan: simbaan, abagatan: pagadalan, laud: balay, daya: tiendaan","north: church, south: school, west: house, east: market"
"babaen ti tulong iti mapa, masarakan mo ti lugar nga papanam","with the help of a map, you can find the place youre going to"
kas ti maladaga no matmaturog ni pito,like an angel when pito sleeps
ti ubing ket kas iti asukar ti kasamitna,the child is like sugar in sweetness
dagiti bituen ket kas iti diamante ti tangatang,the stars are like diamonds in the sky
ti baro ket kasla calculator,the young man is like a calculator
ti ugeng ket kasla kasipnget ti rabii,the fog is like the darkness of night
ti bituen kasla brillante ti langit,the stars are like brilliants in the sky
kasla manga kaalsem ti rupa na,his face is as sour as a mango
ni ona ket napintas kasla diay suot na a blusa,ona is beautiful like the blouse she is wearing
ti ima iti balasang kasla kalamuyot ti pungan,the ladys hand is as soft as a pillow
ti dutdot ket kas ti kapas kalagan,the feather is like cotton in lightness
ti trabahador ket kas ti alimbubuyog nga agtrabaho,the worker is like a bee working
ti trabahador ket kasla iti kuton nga agsapul,the worker is like a kitten searching
ti kapanunotan na ket kas ti init kalawag,his mind is like the sun in brightness
dagiti cookies ket kas ti bato katangkan,the cookies are like stone in hardness
ni tatay ket kasla nuang nga agtrabaho,father works like a carabao
ti isem ni lina ket kasla init a mangted raniag,linas smile is like the sun giving light
ti panaggayyem ni ten ken pen ket kasla kasamit iti honey,the friendship of ten and pen is as sweet as honey
kasla ikan ni manong leon nga aglangoy,brother leon swims like a fish
kasla yelo ti lamiis diay ima ni tina iti buteng,tinas hands were as cold as ice in fear
agtrabaho,to work
aglangoy,to swim
magnitas a balai,magnet house
aso ken pusa,dog and cat
mabanglo a sabong,fragrant flower
balasang ken baro,lady and gentleman
nalinis nga aglawlaw,clean surroundings
alla adda napuuran a balai,oh no there is a burning house
ania ti paboritom a sidaen,what is your favorite dish
ti hardin ko ket panganak a makaregta ken makapasalun-at,my garden makes me relaxed and healthy
agtalinayod,to be connected
mano a bulanen,how many months
mailiwak,i miss
bassi-bassit,little by little
nasursurok,i learned
ubraen,to do
maestra,female teacher
sapay la koma ta,i hope that
mapukawen,will disappear
makastrektayon,we can meet
makaay-ayam,we can play
agtalinaed,to stay
uneg ti balay,inside the house
makaikawa ngem bassi-bassit nasursurok metten nga ubraen dagiti modiul,it's difficult but i'm learning little by little to do the modules
sapay la koma ta mapukawen ti daytoy a pandemia,i hope this pandemic will end
tapno makastrektayon ken makaay-ayam nga agkakadua,so we can meet and play together
makipatang,to converse
napapateg a tiempo,important occasions
naduma-duma a situasion,different situations
agsaludsod,to ask a question
agpakada,to say goodbye
sumungbat,to answer
agibaga iti bukod a padas,to share one's own experience
agyamanak,thank you
naimbag a bigatyo,good morning to you
naimbag a malemyo,good afternoon to you
naimbag a rabiiyo,good evening to you
naimbag nga aldawyo,good day to you
kumusta kayo,how are you
awan aniaman,you're welcome
dispensaren nak,forgive me
makikaasiak koma,i humbly request
agpakadakak koma,i will take my leave
nadangran,got hurt
dumawat,to ask for
sangoyo,to all of you
tulunganidak,help me
pasalsalikan,be careful
sumungad,looked ahead
urayennak,wait for me
illbrenak,treat me
inikkannaka,was given to you
agbassit met,it's too small
intayo,lets go
naimas kadi,is it delicious
aglisikaman dita,get out of the way
nakabaddekka,you tripped
masapulmo,you need
nalagip mo,you remembered
maliiwak,i miss
apanakan,i will go
labasan kayon,i will just pass by you
nadangran ti anakko siakon ti dumawat ti dispensar apo,my child got hurt i am the one asking for your pardon sir
ay adda ni apong maria kumusta kayo,oh apong maria is here how are you
agyamanak dagiti tulong nga impaayyo kadakami,thank you for the help you gave us
addaak ditoy sangoyo makikaasiak koma a tulunganidak,i am here before all of you i humbly ask for your help
kayatko nga agpakada koma a nasayaat kadakayo amin,i want to say goodbye properly to all of you
gapu ta aldaw ti kasangaymo naragsakanka unay nga immarakup kenkuana,because its your birthday you were very happy and hugged her
maysa a rabii ket nadanunam nga adda bisita ania ti ibagam,one night you found out there was a visitor what will you say
kayatmo ti sumurot kadagiti gayyem mo ania aramidem,you want to go with your friends what will you do
nasabatmo ti maestram kayatmo isuna a pagtagariam,you met your teacher you want to greet her
nabayagkayo a saan nga nagkinnita ti gayyemmo ania ti ibagam,you and your friend havent seen each other for a long time what will you say
no sumungbat ket nadayaw isu madi a madil dillaw,if one answers politely he or she is not easily embarrassed
itan ok na ni tatang ken nanang,he or she is the pride of father and mother
no agpasiar sabali a balay maparagsak naka launay,when visiting someone elses house they will be happy with you
ti panagsungbat na a maalumamay aduman ti damag madi ka maumay,his or her gentle way of answering you will never get tired of the news about him or her
no met mapan makipatang awan danag ni tatang ken nanang,and when he or she goes to converse with others father and mother have no worry
ta ammoda a madi madillaw tay anakda a nadayaw,because they know their respectful child is not easily embarrassed
kadawyan nga aggian ti pusa iti uneg ti balay,the cat usually lives inside the house
naturog ti buaya idlay sirok ti kayo,the crocodile is sleeping under the tree
ti surat ket adda idlay rabaw ti lamisaan,the letter is on top of the table
simrek dagiti makinisa iti uneg ti simbaan,the churchgoers entered inside the church
tiniliw ni oli daydiay manok a timmayab idlay rabaw ti kayo,oli caught the chicken that flew on top of the tree
nangala ni pedro ti badona iti uneg iti kabinet,pedro got his clothes from inside the cabinet
indisso ni nena tay suratna iti rabaw iti lamisaan,nena placed her letter on top of the table
aggian idiay sirok iti lamisaan,they live under the table
agin inana ni tatang idiay sirok iti kayo,father is resting under the tree
nadanunak idiay ruar iti paraanganmi,i was caught in the rain outside our porch
ado iti billit nga agtatayab idlay rabaw ti kayo,there are many birds flying above the tree
nakaturog daydiay pusa idiay sirok ti lamisaan,that cat is sleeping under the table
dagit tattao ket adda amin idlay uneg ti gym,the people are all inside the gym
nagipan ni noel ti pantalonna iti uneg ti kabinet,noel placed his pants inside the cabinet
dagiti ubbing ket addada amin idlay ruar ti paraangan,the children are all outside the porch
nadanunak,i was caught in the rain
nagigalot,washed clothes
birbirukek,i am looking for
tartarimaanen,will accept
pumpumuen,will fill
gumatgatang,will buy
aglablaba,will wash clothes
biruken,will look for
agar arado,will plow
kanayon a mangmangan ni tommy ti prutas,tommy always eats fruit
da amie ken susie ket agayay ayam ti jack stone itatta,amie and susie are playing jackstones now
binigat nga umin inom ti gatas ni ramon,ramon drinks milk every morning
inaldaw nga aglaklako iti itlog ni tata ambo,tata ambo sells eggs every day
agsasarita dagiti bumaranggay,the neighbors are talking
nagdalus iti pagmulaanda ti masetas,they cleaned their plant box for the plants
nagkali iti abut a pagibellengan,he dug a pit for the garbage
nagpasiar idiay plasa,they strolled at the plaza
nagtaray nga apan gumatang,he ran to go buy something
nagpuros ti sabsabong idiay hardin,she picked flowers in the garden
gimmatang ni dr naval ti luganda idi napalabas a tawen,dr naval bought their vehicle last year
nagbuya ti telebisyon ni adingko idi rabii,my younger sibling watched tv last night
naglaba ni marieta ti kawesna,marieta washed her clothes
pagibellengan,for garbage
sibugan,to water plants
matutudo,rainy season
tumagari,became noisy
pumigsa,to become strong
sumalun at,to become healthy
maiyaplikar,to be applied
pudno a biag,real life
inaldaw a padas,daily experiences
nagmano,showed respect
aggapgapas,is plowing
agpungpungot,is gathering
agluglugan,is riding a vehicle
isurat,to write
agang angaw,to bark
agaramid,to do
agad adal,to study
ik ikkan,to give
aglaglagto,to jump
sabatennak,you greet me
agkikibin,is picking up
aggapu,coming from
mailiwan,was missed
ipakanna,to feed someone
tarakenna,his animal
agkarayam,to play
agag agas,treats medically
agrikos,to hum
agtugaw,to sit
nakadanonda,they were caught in the rain
agmula mulagat,looking around intently
maadal,to learn
panagdaniw,poetry recitation
magun od,to achieve
panagaramid,the act of doing
panangbukel,the act of encircling
marisan,to color
manisurat,to write
timbukelan,to encircle
ikahon,to box
bukelan,to encircle
mangala,to get
sayaaten a balkoten,to slice into halves
agwagwag,to wash
agunnat,to stretch
agbuggo,to take a bath
agkararag,to pray
agpanunot,to think
maiikan,to heat
palammiisen,to cool down
papuduten,to make it hot
danuman,to add water
agmano,to show respect
agsukat,to change clothes
kupinen,to keep
bugwan,to stir
linayen,to wait for it to cook
sukaten,to remove from heat
rumuar,to go out
ikarga,to load
idulin,to keep
ibati,to leave behind
impisok,put in
luflutuen,to cook by boiling
nagawid,went home
mabisinen,was fed
pagtimplaen,to be prepared
marisan daytoy a pusa iti kahel,color this cat orange
agdrowing ti panganan na idiary abay na,draw its food beside it
