Iloko,English
nasaet,kind
nalapsat,lovely
nailiday,sad
nasinop,economical
nailimaw,bright
namudel,diligent
makaunget,makes angry
makapungtot,infuriating
nakipet,narrow
nawatiwat,spacious
makaparag-o,makes happy
rumagsak,becomes happy
lumiday,becomes sad
nakapsot,weak
nasalon-at,healthy
immuna,first
nasakbay,first
napudaw,light-colored
napuskol,thick
naingpis,thin
unano,dwarf
pandek,short
naladaw,late
alisto,quick
nababa,low
narag-o,happy
nalukneng,mature
naparikot,worried
nagaspang,rough
naulemek,smooth
nalamii,smooth
nauneg,deep
narabaw,shallow
nalaaw,loud
nalam-ek,cold
nakaro,many
sobra,too much
tao,person
pannakisao,conversation
karruba,neighbor
sonata,sonata
kinanayon,condition
panagbagbagi,health
kulungan,cage
kusina,kitchen
bayabay,adverb
bayabay ti panawen,adverb of time
panawen,time
kadaras,frequency
mano,how much
tinawen,yearly
rinabii,at night
suntipnget,at dusk
alas-sais,six o'clock
tatta,now
madamdama,a while ago
no bigat,tomorrow
biernes,friday
sabado,saturday
mindemak,yesterday
idlay bakasion,during vacation
kanayonko,i always
mammano,seldom
maminsan,once
mamilo,thrice
sagpaminsan,sometimes
sagnaminsan,sometimes
mamillo,thrice
agpaspasyar,to take a walk
agsibsibog,to water plants
umalis,to leave
dagasen,to urge
nagri-ing,woke up
lumnek ti init,sunrise
agala,to get
lumnek,to rise
binangon,woke up
mangrugi,to start
agsungbat,to answer
agturog,to sleep
bumisita,to visit
agkanta,to sing
pammigat,breakfast
pinaggimong,meeting
bus,bus
kard,card
basurero,garbage collector
telebision,television
jogging,jogging
santa cruzan,religious procession
lolo ken lola,grandfather and grandmother
igid ti karayan,riverside
parabor,reward
sangit,cry
idiay,at
sadiay,there
ditoy,here
sadita,there
siruk,under
ngato,on top
likod,behind
ití,on
iti uneg,inside
iti ruar,outside
agin-ina,rested
tinulung,helped
nangikabil,placed
naisinop,was kept
naglutluto,cooked
nagkammel,gathered
indulin,kept
agasan,to treated
gumatang,buys
nagtatakan,raised
naikabil,was placed
nalipat,forgot
aparador,wardrobe
marabutit,kitten
tatsing,a game
lames,picnic
masapol,needs
sangati,visitor
botika,drugstore
panaderia,bakery
lason,poison
payong,umbrella
mula a masetas,potted plants
bangko,bank
nainayad,slowly
kinakapsot,weakly
kinaanus,patiently
kinaado,abundantly
kinapigsa,strongly
kinapintas,beautifully
nakaem,ferociously
naringgor,noisy
nadawel,lazily
napasnek,diligently
nadumanay,gently
agdardaras,hurriedly
nasiwal,soundly
nabannug,got tired
binagkat,carried
naawat,received
surotenda,they follow
tayab,fly
dayawek,i admire
natalek,trusts
komugtar,kicked
agay-ayos,flowing
panagbasa,reading
limmagto,jumped
nakakita,saw
naimula,were planted
panagsao,speaking
napan,went
dinengngeg,heard
bosses,voice
agkansyon,sings
kumagat,bite
panagdalluyon,waving
inawat,received
nagaramid,made
limmabas,passed by
nagadal,studied
umisem,to smile
tumaray,to run
kabalyo,horse
tiniklis a prutas,basket of fruit
sagut,gift
annuroten,instructions
eskuelaan,school
agtudon,it's about to rain
inang,mother
taraken nga aso,pet dog
motor,motorcycle
mannursuro,teachers
surat a panangawis,letter of invitation
surat a panagyaman,thank you letter
mangited iti mensahe,to give a message
makirambak,to celebrate with
okasion,occasion
kalpasan,after
naaramid,happened
naisangsangayan,special
kablaaw,greeting
panagep,purpose
awisem,you invite
sapay koma ta...,i hope that...
makaumay,can come
biniag,birth
kakuyog,companion
itatabuno,the other time
kameng ti pamilia,family member
dios,god
kabsat,sibling
rubrik,rubric
urnos,order
dadakkel a letra,capital letters
linis,neatness
nalinis ti aramid.,the work is neat.
adda margin.,has margins.
garapon,jar
prutas,fruit
agdayao,be polite
agdalus,clean
pagsayaatan,rules
pappapel,papers
nadumaduma,various
kinaatiddog,length
kinaababa,shortness
kinadakkel,largeness
kinabassit,smallness
naidumduma,different
agsalsala,dancing
agkankanta,singing
manaynayunan,increasing
nabuteng,afraid
agpada,similar
palibang,firework
lapayag,ears
abaga,chest
tengnged,neck
tiyan,belly
bara,lungs
usar,function
tignay,action
ladawan,picture
pangrikna,feel
sustansia,nutrition
pagsalun-at,health
pangsalakniib,protection
pagtataengan,shelter
sipelio,toothbrush
iklog,egg
simbahan,church
kasinsin,cousin
pinadakkel,raised
tinaraken,cared for
miembro,member
tatang,father
manong,older brother
aw-awagan,nickname
ag-awir,take care of
liwliwa,joy
panagpapada,similarities
panagdidinnuma,differences
relihion,religion
kristiano,christian
muslim,muslim
agsisinnakit,to care for each other
respeto,respect
panagkikinnu-yog,cooperation
paaweng,vowels
pauni,consonants
pangibalikas,pronunciation
panangiyebkas,enunciation
agkadua,pair
paggep,goals
klinik,clinic
siled-komputer,computer room
kantin,canteen
bilang,count
prinsipal,principal
guardia,guard
tagalinis,cleaner
bombero,firefighter
obrada,their job
agsirsirbi,serve
panagdayaw,greeting
panagyaman,gratitude
dispensar,sorry
kayat,like
saan a kayat,dislike
abal-balay,toys
yoyo,yo-yo
tren-tren,toy train
naayat,loving
nalammuyot,soft
naalsim,sour
nalammilis,smooth
nakatakder,standing
nainit,sunny
naulep,cloudy
naangin,windy
agbagbagyo,stormy
angin,wind
nagpudot,hot
lammiis,cold
pug-aw,breeze
letra,letter
pasurotan,trace
ispeling,spelling
panangisurat,writing
husto,correct
saan nga husto,incorrect
balikas,word
mabukel,to form
nawara-wara,scrambled
pannakaispeling,the spelling
bigbigen,identify
parupo,paragraph
daniw,poem
linia,line
kappia,peace
balligi,success
ballitok,gold
opisina,office
napateg,important
nakaiparsuaan,creation
kinabaknang,wealth
agar-aramid,doing
aktibidades,activities
makaited,can give
pagalaan,sources
dakes,bad
maaw-awag,is called
mangparparugit,that pollute
kosina,kitchen
minuyongan,garden
napusaksak,blooming
ala,get
kadin,please
ibagam,tell
napnuan,full of
dayag,praise
denggem,listen
ibagak,I will tell
apo,lord
namarsua,creator
edukasion,education
bersikulo,verse
hustisia,justice
kultura,culture
pangayo,requesting
plato,plate
masinaan,noticed
nasepnget,dark
pagdalanan,path
paglinglingedam,hiding from
ammo,know
selawan,light
panagpugto,riddle
saludsod,question
nakalemmeng,hidden
kayat a sawen,meaning
sungbatan,to answer
panagpanunot,thinking
padarigan,example
niyog,coconut
bain-bain,shameplant
agsursuro,will learn
pagtoengan,dwelling
anghel,angel
nakaruar,came out
magrupo,to be grouped
saggaysa,individually
maaw-awagan,is called
pagarigan,example
kutsara,spoon
kamatis,tomato
kaldero,cooking pot
bolpen,ballpen
tarong,eggplant
asin,salt
buok,hair
ketsup,ketchup
tumibker,to become strong
tultulang,bones
agus-usar,using
nangabak,won
napuros,picked
pangtempla,for mixing
insangpet,brought home
ayus,flow
pangsalakinib,to prevent
nalipatan,forgot
darakkel,are huge
binulod,borrowed
elemento,element
nagpaset,character
nakapasamakan,setting
pasamak,plot
solusion,solution
garreta,store
tsinelas,slippers
bikal,pole
dinguen,animal
impagatang,was asked to buy
nagyaman,thanked
impalagip,reminded
inasitgan,approached
naigalis,slipped
impukkaw,yelled
sapsapulen,will look for
nagsibbol,shook
naregreg,fell down
agnaed,lives
agpakpakan,feeds
agpapainum,gives water to
aglagto,to jump
agakas,to collect
nagsakit,painful
pangpersonal,personal
yo,your
agassawa,married couple
mangisalda,to pawn
batog,opposite
langit,heaven
nakuliaapan,amazed
pinangibelleng,throwing away
nagballa,got angry
nagpungtot,got furious
parikot,bundle
nadagasen,heavy
napuslo,messy
isagut,to give as a gift
rungaab,cry
nilabaan,washed clothes
murengmi,our dirty clothes
nakaawat,received
kalamansi,calamansi fruit
nalastog,boastful
naguray,waited
sangalobungan,the whole world
panagsangit,crying
agas-asok,smoking
reaksion,reaction
kapanunotan,thought
marikna,to feel
kapadasan,experience
isyu,issue
damdamag,news
gadyets,gadgets
opinyon,opinion
pammati,belief
artikulo,article
programa,program
gobyerno,government
cash-for-work,cash-for-work
mangtarabay,to guide
nangasistar,assisted
tulong,help
drayber,driver
surat,letter
telegrama,telegram
makaipatulod,can send
dokumento,document
pagiwamak,media
damag,news
napasamak,happened
napartak,fast
kinaanus,patience
pagiwarnak,newspaper
liwliwa,entertainment
isports,sports
obituario,obituary
negosio,business
indeks,index
panid,page
napasamak,happened
mannurat,writers
salisal,games
obra,job
panakaammo,announcement
naikedkedengan,important
maseknan,bereaved
nagkasar,got married
nawaya,wide
pangatwen,make higher
pimmusayen,died
grap,graph
drowing,drawing
datos,data
bilang,number
pangkuentaan,for counting
pagtuponen,to combine
pagdagupem,you add up
pagnayonen,to be added together
katumbas,equivalent
kabassitan,least
kaadwan,most
agpada,equal
klase,types
amin,all
nalako,sold
enero,january
pebrero,february
marso,march
abril,april
nagmula,planted
saba,banana plant
lalake,male
obra,job
trabahador,worker
makiraraep,farmer
kargador,porter
tanod,watchman
napatta-patta,harvested
mangalap,to catch fish
nakalap,caught
ilustrasion,illustration
lebel,label
detalye,details
agdigós,to take a bath
aggaggaggi,brushing teeth
panagadal,study
ubíng,child
nakasuot,wearing
ribbon,ribbon
pagadalan,school
simbaan,church
agtartaray,running
agin-indayon,swinging
nakatugaw,sitting
food pyramid,food pyramid
porsiento,percent
prútas,fruits
naténg,vegetables
karné,meat
ikán,fish
gatás,milk
itlóg,egg
pasta,pasta
bukbúkel,grains
taba,fat
mantiká,oil
asukar,sugar
nasasam-it,sweet
namantika,oily
nasustansia,nutritious
makan,food
porma,form
pagasaritaan,subject
kinaadu,count
maulit,to be repeated
pangkadua,for two
pang-adu,for many
nagkanta,sang
agdidigos,taking a bath
agsusurat,writing
nagsurat,written
aglalako,selling
naglako,sold
agdaniw,to recite a poem
agdandaniw,reciting a poem
nagdaniw,recited a poem
agtulong,to help
agtultulong,helping
timmulong,helped
agluluto,cooking
agsasala,dancing
nagsala,danced
aglalagto,jumping
naglagto,jumped
panagtulong,helping
panagwalis,sweeping
panaglinis,cleaning
panaginnaw,washing dishes
panagsibog,watering plants
masapa,early
riing,to wake up
pasalip,contest
manarimaan,ongoing
napalabas,past
simmmangeret,arrived
agpatayab,to fly a kite
agwatwát,to exercise
makaturpos,to graduate
aglalangoy,swimming
agkarkararag,praying
agpapalakpak,clapping
insuro,taught
isursuro,is teaching
mangisuro,will teach
balabala,outline
pagsarsaritaan,topic
roman numeral,roman numeral
letra,letter
parupo,paragraph
seleksion,selection
higante,giant
pagrangiayan,passageway
isla,island
impalubos,allowed
nagiyawid,brought home
barangay,village
nagdiso,placed
dapanna,his sole
kinagat,bite
inkutina,shook off
nakazwit,carrying on the head
lubong,world
agbiag,to live
dumakkel,to grow
pangdalus,for cleaning
umungen,to collect
nagbanlawan,used for rinsing
aginnaw,to wash dishes
pangsibog,for watering
nalatak,famous
tumutukar,composer
nakaparsuat,created
tukar,song
mangmangngegan,can be heard
pagpabuyaan,place for shows
nanumo,humble
makatignay,moving
uni,sound
folk song,folk song
senian,arts
tema,theme
didigra,calamity
panangliklik,prevention
agdengdengngeg,listening
misa,mass
pinagdedenna,their rest day
natataengan,adults
nakauriiporme,wearing uniform
panagititenda,market day
agraragsak,rejoicing
pinagkakadwa,bonding time
moda,mode
simbolo,symbol
mabiqbiqbig,recognizable
traysikel,tricycle
de motor,motorized
tren,train
metropolis,metropolis
railroad networks,railroad networks
mangpabassit,to reduce
trapiko,traffic
pangpubliko,for public
ibagbaga,it says
agsisinnarita,conversing
pakammuan,to be informed about
bakbaklayek,i am carrying on my back
agkapet,hold on tight
nariknak,what i felt
nakapanunotak,what i thought
nakapadasak,what i experienced
